-48 , b'13.70057' , b'-89.20173'
-53 , b'13.70057' , b'-89.20171'
-75 , b'13.70054' , b'-89.20168'
-48 , b'13.70053' , b'-89.20168'
-75 , b'13.70053' , b'-89.20168'
-48 , b'13.70054' , b'-89.20170'
-75 , b'13.70054' , b'-89.20171'
-48 , b'13.70055' , b'-89.20169'
-75 , b'13.70056' , b'-89.20173'
-48 , b'13.70057' , b'-89.20168'
1,-48,None,None
2,-54,None,None
3,-48,None,None
4,-54,None,None
5,-48,None,None
6,-54,None,None
7,-48,None,None
8,-54,None,None
9,-48,None,None
10,-54,None,None
11,-48,None,None
12,-54,None,None
1,-48,None,None
2,-50,None,None
3,-79,None,None
4,-48,None,None
5,-50,None,None
6,-79,None,None
7,-48,None,None
8,-50,b'13.69841',b'-89.20412'
9,-79,b'13.6984',b'-89.20413'
10,-48,b'13.69839',b'-89.20413'
11,-50,b'13.69839',b'-89.20413'
12,-79,b'13.69838',b'-89.20413'
13,-48,b'13.69838',b'-89.20413'
14,-50,b'13.69837',b'-89.20413'
15,-79,b'13.69837',b'-89.20413'
16,-48,b'13.69826',b'-89.20426'
17,-50,b'13.69827',b'-89.20428'
18,-79,b'13.69827',b'-89.20428'
19,-48,b'13.69829',b'-89.20428'
20,-50,b'13.70065',b'-89.20142'
21,-79,b'13.70063',b'-89.2014'
22,-48,b'13.70062',b'-89.2014'
23,-50,b'13.70062',b'-89.20138'
24,-79,b'13.70059',b'-89.20127'
25,-48,b'13.70059',b'-89.20127'
26,-50,b'13.70059',b'-89.20127'
27,-79,b'13.70059',b'-89.20127'
28,-48,b'13.70059',b'-89.20127'
29,-50,b'13.70059',b'-89.20127'
30,-79,b'13.70059',b'-89.20127'
31,-48,b'13.70059',b'-89.20127'
32,-50,b'13.70062',b'-89.20137'
33,-79,b'13.70062',b'-89.20138'
34,-48,b'13.70062',b'-89.20137'
35,-50,b'13.70062',b'-89.20137'
36,-79,b'13.70062',b'-89.20138'
37,-48,b'13.70062',b'-89.20138'
38,-50,b'13.70063',b'-89.2014'
39,-79,b'13.70065',b'-89.20145'
40,-48,b'13.70065',b'-89.20145'
41,-50,b'13.70065',b'-89.20145'
42,-79,b'13.70065',b'-89.20145'
43,-48,b'13.70061',b'-89.20143'
44,-50,b'13.70061',b'-89.20142'
45,-79,b'13.70061',b'-89.20138'
46,-48,b'13.70062',b'-89.20138'
47,-50,b'13.70107',b'-89.20191'
48,-79,b'13.70107',b'-89.20184'
49,-48,b'13.70108',b'-89.2018'
50,-50,b'13.70109',b'-89.20177'
51,-79,b'13.70111',b'-89.20177'
52,-48,b'13.70112',b'-89.20173'
53,-50,b'13.70113',b'-89.20168'
54,-79,b'13.70114',b'-89.20165'
55,-48,b'13.70115',b'-89.20161'
56,-50,None,None
57,-79,None,None
58,-48,None,None
59,-50,None,None
60,-79,None,None
61,-48,None,None
62,-50,None,None
63,-79,None,None
64,-48,None,None
65,-50,None,None
66,-79,None,None
67,-48,None,None
68,-50,None,None
69,-79,None,None
70,-48,None,None
1,-51,None,None
2,-80,None,None
3,-51,None,None
4,-80,None,None
5,-51,None,None
6,-80,13.70053,-89.20138
7,-51,13.70053,-89.20138
8,-80,13.70053,-89.20138
9,-51,13.70053,-89.20138
10,-80,13.70053,-89.20138
11,-51,13.70053,-89.20138
12,-80,13.70053,-89.20138
13,-51,13.70055,-89.2014
14,-80,13.70055,-89.20142
15,-51,13.70055,-89.20142
16,-80,13.70055,-89.20142
17,-51,13.70056,-89.20142
18,-80,13.70056,-89.20143
19,-51,13.70056,-89.20143
20,-80,13.70056,-89.20143
21,-51,13.70081,-89.2015
22,-80,13.70082,-89.20149
23,-51,13.70083,-89.20149
1,-43,None,None
2,-51,None,None
3,-81,None,None
4,-43,None,None
5,-51,None,None
6,-81,None,None
7,-43,None,None
8,-51,None,None
9,-81,None,None
10,-43,13.70069,-89.20109
11,-51,13.70068,-89.20111
12,-81,13.70067,-89.20115
13,-43,13.70065,-89.20119
14,-51,13.70064,-89.2012
15,-81,13.70063,-89.2012
16,-43,13.70063,-89.2012
17,-51,13.70063,-89.2012
18,-81,13.70063,-89.2012
19,-43,13.70063,-89.2012
20,-51,13.70063,-89.2012
21,-81,13.70063,-89.2012
22,-43,13.70063,-89.2012
23,-51,13.70052,-89.20138
24,-81,13.70052,-89.20138
25,-43,13.70052,-89.20138
26,-51,13.70052,-89.20138
27,-81,13.70052,-89.20138
28,-43,13.70052,-89.20138
29,-51,13.70052,-89.20138
30,-81,13.70052,-89.20138
31,-43,13.70052,-89.20138
1,-51,13.70053,-89.20137
2,-65,13.70053,-89.20137
3,-82,13.70053,-89.20137
4,-87,13.70053,-89.20137
5,-51,13.70053,-89.20137
6,-65,13.70053,-89.20137
7,-82,13.70053,-89.20137
8,-87,13.70054,-89.20135
9,-51,13.70054,-89.20135
10,-65,13.70054,-89.20135
11,-82,13.70054,-89.20135
12,-87,13.70054,-89.20135
13,-51,13.70058,-89.2014
14,-65,13.70058,-89.20142
15,-82,13.70058,-89.20142
16,-87,13.70058,-89.20142
17,-51,13.70057,-89.20145
18,-65,13.70057,-89.20145
19,-82,13.70057,-89.20145
20,-87,13.70057,-89.20145
21,-51,13.70057,-89.20145
22,-65,13.70057,-89.20145
23,-82,13.70057,-89.20145
24,-87,13.70057,-89.20145
25,-51,13.70057,-89.20145
26,-65,13.70052,-89.20135
27,-82,13.70052,-89.20135
28,-87,13.70052,-89.20135
29,-51,13.70052,-89.20135
30,-65,13.70052,-89.20135
31,-82,13.70053,-89.20134
32,-87,13.70053,-89.20134
33,-51,13.70053,-89.20132
34,-65,13.70056,-89.20129
35,-82,13.70055,-89.20129
36,-87,13.70056,-89.20129
37,-51,13.70056,-89.20127
38,-65,13.70056,-89.20127
39,-82,13.70057,-89.20126
40,-87,13.70057,-89.20126
41,-51,13.70056,-89.20124
42,-65,13.70056,-89.20124
43,-82,13.70055,-89.20126
44,-87,13.70055,-89.20126
45,-51,13.70055,-89.20126
46,-65,13.70055,-89.20126
47,-82,13.70055,-89.20126
48,-87,13.70055,-89.20126
49,-51,13.70055,-89.20126
50,-65,13.70055,-89.20126
51,-82,13.70055,-89.20126
52,-87,13.70055,-89.20126
53,-51,13.70058,-89.20131
54,-65,13.70058,-89.20132
55,-82,13.70059,-89.20132
56,-87,13.70059,-89.20132
57,-51,13.70059,-89.20132
58,-65,13.70059,-89.20132
59,-82,13.70059,-89.20131
60,-87,13.70059,-89.20131
61,-51,13.70059,-89.20131
1,-49,13.70054,-89.20127
2,-69,13.70054,-89.20127
3,-86,13.70054,-89.20127
4,-87,13.70054,-89.20127
5,-49,13.70053,-89.20137
6,-69,13.70053,-89.20138
7,-86,13.70052,-89.20138
8,-87,13.70052,-89.20138
9,-49,13.70052,-89.20138
10,-69,13.70052,-89.20138
11,-86,13.70052,-89.20138
12,-87,13.70052,-89.20138
1,-62,None,None
2,-67,None,None
3,-74,None,None
4,-62,None,None
5,-67,None,None
6,-74,None,None
7,-62,None,None
8,-67,None,None
9,-74,None,None
10,-62,None,None
11,-67,None,None
12,-74,None,None
13,-62,None,None
14,-67,None,None
15,-74,None,None
16,-62,None,None
17,-67,None,None
18,-74,None,None
19,-62,None,None
20,-67,None,None
21,-74,None,None
22,-62,None,None
23,-67,None,None
24,-74,None,None
25,-62,None,None
26,-67,None,None
27,-74,None,None
28,-62,None,None
29,-67,None,None
30,-74,None,None
31,-62,None,None
32,-67,None,None
1,-51,None,None
2,-55,None,None
3,-78,None,None
4,-51,None,None
5,-55,None,None
6,-78,None,None
7,-51,None,None
8,-55,None,None
9,-78,None,None
10,-51,None,None
11,-55,None,None
